L	T	mean_abs_M	naive_se	block50_se	block50_over_naive	tau_int
32	1.50	0.986233	0.00008867	0.00015973	1.801	1.661
32	1.60	0.979504	0.00011635	0.00019368	1.665	1.715
32	1.70	0.970393	0.00015059	0.00034887	2.317	2.183
32	1.80	0.955925	0.00020020	0.00051705	2.583	2.940
32	1.90	0.937887	0.00027864	0.00070804	2.541	4.052
32	2.00	0.911675	0.00008499	0.00027282	3.210	8.201
32	2.05	0.893650	0.00010398	0.00048035	4.620	11.828
32	2.10	0.869276	0.00013728	0.00091701	6.680	22.592
32	2.15	0.835177	0.00019861	0.00177303	8.927	40.049
32	2.20	0.787684	0.00029461	0.00411301	13.961	101.798
32	2.25	0.699428	0.00047061	0.00701757	14.912	149.738
32	2.30	0.548280	0.00065584	0.00848568	12.939	120.125
32	2.35	0.422212	0.00068884	0.01108695	16.095	139.045
32	2.40	0.317963	0.00062136	0.00744558	11.983	115.570
32	2.45	0.243555	0.00051843	0.00516907	9.971	50.237
32	2.50	0.204174	0.00045395	0.00508374	11.199	49.902
32	2.55	0.169103	0.00038150	0.00250936	6.578	26.984
32	2.60	0.153133	0.00034964	0.00202260	5.785	20.619
32	2.70	0.120797	0.00128006	0.00622915	4.866	12.610
32	2.80	0.107692	0.00112420	0.00457123	4.066	9.017
32	2.90	0.090951	0.00097768	0.00376574	3.852	8.118
32	3.00	0.082139	0.00090950	0.00321805	3.538	6.356
32	3.10	0.075621	0.00082237	0.00188243	2.289	4.226
32	3.20	0.069929	0.00073810	0.00187456	2.540	3.914
32	3.30	0.068386	0.00073462	0.00212826	2.897	3.434
32	3.40	0.064209	0.00067964	0.00165368	2.433	2.729
32	3.50	0.064330	0.00067326	0.00166707	2.476	2.879
64	1.50	0.986474	0.00004431	0.00009502	2.144	1.577
64	1.60	0.979506	0.00005951	0.00010666	1.792	1.989
64	1.70	0.969997	0.00007501	0.00013011	1.735	2.042
64	1.80	0.956795	0.00009772	0.00024004	2.456	3.095
64	1.90	0.938851	0.00012715	0.00032909	2.588	3.446
64	2.00	0.911379	0.00004345	0.00016428	3.781	8.898
64	2.05	0.892990	0.00005340	0.00028166	5.275	12.807
64	2.10	0.868777	0.00006975	0.00040464	5.802	21.814
64	2.15	0.835848	0.00009594	0.00080478	8.388	44.383
64	2.20	0.787351	0.00015033	0.00234758	15.616	141.468
64	2.25	0.664292	0.00043497	0.01410141	32.420	648.160
64	2.30	0.424489	0.00062119	0.01775638	28.584	521.309
64	2.35	0.244991	0.00050199	0.01193797	23.782	373.440
64	2.40	0.172486	0.00037563	0.00568138	15.125	128.503
64	2.45	0.124694	0.00028787	0.00387859	13.473	77.894
64	2.50	0.100209	0.00023934	0.00220245	9.202	53.258
64	2.55	0.086547	0.00020395	0.00167426	8.209	32.139
64	2.60	0.076739	0.00018064	0.00121067	6.702	25.641
64	2.70	0.062867	0.00066087	0.00294170	4.451	11.204
64	2.80	0.050487	0.00053732	0.00247252	4.602	11.369
64	2.90	0.045431	0.00048199	0.00164595	3.415	6.635
64	3.00	0.045345	0.00048610	0.00161844	3.329	6.560
64	3.10	0.039338	0.00042748	0.00116625	2.728	4.649
64	3.20	0.038684	0.00041368	0.00116333	2.812	4.200
64	3.30	0.034185	0.00036263	0.00100425	2.769	3.571
64	3.40	0.032029	0.00033612	0.00080272	2.388	3.307
64	3.50	0.032148	0.00035069	0.00079088	2.255	2.809
